radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.308621,0.511,-26.078402,0.334,2,14.519,0.011,15.075,0,14.776,0.006,14.407,0.035,14.291,0.062
119.309059,1.02,-26.097451,0.462,2,16.294,0.116,16.845,0.038,NA,NA,NA,NA,NA,NA
119.309287,0.586,-26.000376,0.474,2,15.625,0.05,16.498,0.014,16.016,0.035,15.409,0.043,15.08,-0
119.309353,0.55,-25.866401,1.149,2,14.557,0.006,14.912,0.006,14.708,0.01,14.519,0.074,14.422,-0
119.309536,0.718,-25.496445,1.313,2,15.74,-0,16.448,-0,16.24,0.054,15.647,0.041,NA,NA
119.309792,0.768,-26.056227,0.542,2,15.226,0.01,15.976,0.016,15.526,0.012,15.093,0.025,14.982,0.25
119.309801,0.123,-26.147259,0.054,2,11.708,0.017,12.101,0.006,11.848,0.027,11.638,0.023,11.568,0.037
119.310175,0.164,-26.206753,0.104,2,12.215,0.011,13.23,0.006,12.688,0.017,11.914,0.01,11.613,0.053
119.310227,0.088,-25.684325,0.112,2,11.941,0.008,13.069,0.006,12.468,0.023,11.557,0.01,11.225,0.053
119.310403,0.386,-26.282439,0.255,2,13.553,0.021,14.171,0,13.872,0,13.432,0.043,13.333,0.082
119.31058,0.337,-26.200764,0.049,2,11.344,0,12.002,0.008,11.638,0.021,11.146,0.015,11.01,0.067
119.310629,0.325,-26.133173,0.166,2,14.485,0.036,15.185,0.019,14.809,0.006,14.227,0.022,14.047,0.006
119.310659,0.207,-26.365687,0.093,2,12.837,0.021,13.158,0.017,12.932,0.017,12.84,0.038,12.878,0.046
119.311333,1.016,-25.777155,0.641,2,16.231,0.048,17.074,0.032,16.588,0.068,16.06,0.052,NA,NA
