radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
153.469566,0.421,-58.616559,1.749,2,17.379,-0,18.119,-0.342,NA,NA,NA,NA,17.605,-0
153.469758,0.378,-58.939578,0.789,3,14.453,0.063,15.2,0.083,14.717,0.028,14.234,0.01,14.005,0.03
153.471655,0.26,-58.881152,0.788,3,14.409,0,15.902,0.021,15.117,0.07,13.901,0.006,13.339,0.036
153.471831,0.318,-58.595402,0.664,2,NA,NA,NA,NA,NA,NA,NA,NA,14.771,0.028
153.473313,0.895,-58.950925,1.594,3,NA,NA,17.291,-0,16.522,-0,15.683,-0,15.253,0.059
153.477485,0.245,-58.851973,1.197,3,11.924,0.788,13.397,0.669,12.886,0.756,10.612,0.594,NA,NA
153.47769,0.873,-58.847007,1.3,3,15.306,0.024,16.891,0.625,15.725,0.01,14.927,0.147,13.755,-0
153.478629,0.366,-58.616814,0.932,4,14.146,-0,14.951,-0,14.462,-0.012,13.923,-0,13.781,0.061
153.481263,0.952,-58.576072,0.781,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.481515,1.006,-58.57581,1.362,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.481638,0.96,-58.575883,1.214,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.482907,1.826,-58.5755,1.179,6,13.221,-0,14.456,-0,13.789,-0.006,12.822,-0,12.489,0.048
153.483355,0.404,-58.666353,1.315,3,15.152,-0,16.03,-0,15.574,0.012,15,0.008,14.812,0.127
153.483884,1.322,-58.732855,1.034,2,15.026,0.067,15.665,0.025,15.293,-0,15.014,-0,NA,NA
153.485148,0.131,-58.934935,0.547,2,10.266,0.016,10.513,0.034,10.887,0.04,10.205,0.008,10.274,0.01
153.485841,0.897,-58.51209,0.705,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.486127,0.748,-58.654593,0.779,2,NA,NA,NA,NA,16.442,-0.068,15.72,-0,15.735,-0
153.486872,0.466,-58.918176,0.737,3,14.364,0,15.133,0.028,14.701,0.04,14.109,0.006,13.88,0.055
153.488467,1.326,-58.504837,1.002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.488551,0.915,-58.504785,1.194,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
