radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
155.101968,1.851,-60.157059,0.219,2,NA,NA,NA,NA,16.271,-0.049,NA,NA,15.285,-0
155.102085,0.653,-59.92264,0.884,2,15.19,0.029,15.568,0.031,15.302,-0,15.047,-0,14.99,-0
155.102094,1.223,-60.225462,0.663,2,NA,NA,NA,NA,15.856,0.028,15.323,-0,15.395,-0
155.10244,1.016,-60.16376,0.69,5,12.356,0.028,12.692,0.006,12.44,0.023,12.38,0.106,12.324,0.074
155.102979,0.342,-60.367509,0.314,3,13.769,0.048,14.825,0.035,14.269,0.021,13.426,0.034,13.071,0.036
155.103868,0.432,-60.175025,1.497,2,NA,NA,NA,NA,NA,NA,NA,NA,11.698,-0.007
155.104171,0.526,-60.174725,0.598,5,12.393,0.019,13.581,0.005,12.913,0.032,12.042,0.06,11.751,0.092
155.104196,1.325,-60.000212,0.845,3,NA,NA,16.455,0.081,15.943,-0,15.391,-0,15.061,-0
155.104462,1.151,-59.896918,1.285,2,14.54,-0,15.978,-0.061,15.218,-0,13.919,-0,13.488,-0
155.104858,1.344,-59.999579,0.601,3,15.65,0.062,16.576,-0,15.976,0.089,15.482,0.031,15.207,-0
155.105059,0.726,-60.091093,0.659,4,15.349,0.05,15.945,0.077,15.623,0.047,15.274,0.102,15.166,0.182
155.105108,0.376,-59.896511,0.439,2,14.51,0.044,16.021,0.031,15.212,0.008,14.007,0.006,13.506,0.022
155.106025,1.081,-59.904571,1.305,2,15.075,-0,15.814,0.035,15.346,-0,14.999,-0,NA,NA
155.106056,1.438,-60.206348,0.874,2,NA,NA,NA,NA,NA,NA,NA,NA,14.351,0.167
155.106317,0.665,-59.927181,0.818,4,14.249,0.065,14.782,0.022,14.447,0.006,14.123,0.031,14.02,0.034
155.106491,0.686,-60.353438,0.743,2,15.719,-0,16.104,-0.064,15.762,0.041,15.443,-0,NA,NA
155.106732,1.105,-59.978034,0.866,2,13.728,-0,15.513,-0.036,14.562,0.063,12.996,0.053,12.295,0.054
155.107346,1.142,-60.390239,0.758,2,15.077,-0,16.197,-0,15.574,0.028,14.734,0.024,14.435,0.04
155.107493,1.174,-60.043038,1.335,2,15.989,-0,16.635,-0,16.234,-0.085,15.615,-0,15.344,-0
155.107536,0.471,-59.977466,0.63,3,13.707,0.034,15.443,0.029,14.579,0.029,13.045,0.009,12.33,0.012
155.107566,0.633,-60.196574,0.692,4,14.265,0.034,15.118,0.063,14.596,0.018,14.065,0.05,13.897,0.055
155.108021,0.877,-60.114456,0.548,5,10.274,0.078,11.825,0.017,11.029,0.157,10.012,-0,NA,NA
155.108303,0.9,-59.938956,0.503,2,15.87,-0,16.776,-0,16.302,-0,15.51,-0,15.053,0.046
