radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
143.365639,0.313,-49.799556,0.162,6,11.972,0.011,12.524,0.037,0.552
143.598695,0.164,-50.135792,0.17,6,11.981,0.028,12.824,0.05,0.843
143.035591,0.259,-49.81649,0.106,7,12.007,0.034,12.807,0.044,0.8
143.635035,0.746,-50.483396,0.835,6,12.019,0.034,12.446,0.035,0.427
143.042996,0.522,-50.652688,0.573,5,12.026,0.069,13.842,0.042,1.816
143.393922,0.337,-49.830149,0.175,6,12.035,0.02,12.381,0.051,0.346
142.75058,0.135,-49.986364,0.445,5,12.044,0.087,12.562,0.066,0.518
142.862308,0.115,-50.230175,0.353,5,12.063,0.049,13.744,0.039,1.681
143.547286,0.415,-50.381068,0.385,6,12.075,0.027,13.318,0.047,1.243
143.58681,0.371,-50.222368,0.313,6,12.075,0.006,12.613,0.039,0.538
142.817952,0.134,-50.025543,0.149,5,12.096,0.043,12.743,0.035,0.647
142.450377,0.555,-50.527678,0.739,5,12.104,0.02,12.667,0.032,0.563
142.955068,0.269,-50.370117,0.56,5,12.11,0.038,12.89,0.033,0.78
142.888918,0.299,-50.330418,0.67,5,12.132,0.049,13.467,0.048,1.335
142.96071,0.137,-50.233286,0.209,5,12.137,0.034,12.853,0.028,0.716
142.924856,0.149,-50.111286,0.214,5,12.138,0.04,13.6,0.043,1.462
143.299915,0.285,-50.2537,0.239,6,12.146,0.028,12.617,0.04,0.471
143.427287,0.266,-50.055364,0.187,6,12.147,0.012,13.523,0.03,1.376
142.708601,0.121,-50.053375,0.3,5,12.153,0.026,12.718,0.037,0.565
142.747576,0.206,-50.224721,0.233,5,12.162,0.028,12.571,0.033,0.409
142.390652,0.253,-50.095077,0.13,5,12.172,0.03,12.881,0.036,0.709
143.068688,0.262,-50.254748,0.174,7,12.179,0.029,12.778,0.044,0.599
143.138195,0.336,-49.959827,0.191,7,12.181,0.03,13.002,0.043,0.821
142.639923,0.216,-50.083105,0.147,5,12.184,0.025,12.724,0.029,0.54
143.42271,0.213,-50.15409,0.281,6,12.187,0.017,13.821,0.042,1.634
142.686128,0.206,-50.194387,0.194,5,12.188,0.021,12.808,0.038,0.62
143.387272,0.239,-50.175881,0.195,6,12.203,0.016,12.96,0.04,0.757
143.555106,0.253,-50.037332,0.132,6,12.204,0.016,12.801,0.044,0.597
143.696665,0.383,-50.314894,0.424,6,12.204,0.027,13.549,0.034,1.345
142.979327,0.175,-50.043969,0.088,5,12.219,0.029,12.807,0.031,0.588
143.751752,0.2,-50.189645,0.231,6,12.228,0.022,12.789,0.039,0.561
143.440862,0.248,-49.944299,0.122,6,12.243,0.077,13.015,0.091,0.772
142.898866,0.308,-50.288342,0.622,5,12.251,0.061,12.816,0.049,0.565
143.499291,0.197,-50.238392,0.173,6,12.259,0.025,12.93,0.037,0.671
142.832424,0.164,-50.100827,0.164,5,12.269,0.044,13.462,0.046,1.193
143.179841,0.386,-50.180872,0.304,6,12.276,0.025,14.317,0.03,2.041
143.507283,0.393,-50.342614,0.385,6,12.287,0.035,12.814,0.048,0.527
142.575496,0.171,-50.019391,0.223,5,12.29,0.072,12.932,0.037,0.642
142.926249,0.208,-50.095918,0.158,5,12.29,0.035,12.901,0.037,0.611
142.972427,0.151,-50.676739,0.572,4,12.304,0.036,12.916,0.014,0.612
142.910496,0.221,-50.387575,0.577,5,12.313,0.049,14.269,0.04,1.956
143.623612,0.999,-50.164755,0.456,5,12.332,0.045,14.299,0.011,1.967
142.825268,0.212,-50.432627,0.688,5,12.334,0.048,13.936,0.035,1.602
143.448143,0.231,-49.857382,0.164,6,12.336,0.01,13.759,0.034,1.423
143.600277,0.221,-49.937785,0.206,6,12.336,0.016,12.869,0.044,0.533
142.505611,0.552,-50.502915,0.817,5,12.357,0.027,12.903,0.029,0.546
142.978808,0.233,-50.377998,0.579,5,12.392,0.026,13.359,0.032,0.967
142.832395,0.366,-50.392593,0.57,5,12.395,0.043,13.057,0.041,0.662
143.085717,0.41,-50.191516,0.22,7,12.397,0.041,12.917,0.047,0.52
143.506351,0.239,-50.03323,0.197,6,12.402,0.012,13.864,0.029,1.462
